mode,bit_setting,logit_cosine_mean_pm_sd,logit_cosine_similarity_mean,logit_cosine_similarity_sd,hidden_cosine_mean_pm_sd,hidden_cosine_similarity_mean,hidden_cosine_similarity_sd,memory_ratio_mean_pm_sd,memory_ratio_vs_exact_mean,memory_ratio_vs_exact_sd
key_only_random,2,0.997396 +/- 0.003934,0.9973958333333334,0.003934454337385429,0.999674 +/- 0.003241,0.9996744791666666,0.0032410243515551052,0.566406 +/- 0.000000,0.56640625,0.0
key_only_random,2.5,0.998210 +/- 0.003639,0.9982096354166666,0.00363880055711384,0.998535 +/- 0.004281,0.99853515625,0.004281020032105121,0.574219 +/- 0.000000,0.57421875,0.0
key_only_random,3,0.999512 +/- 0.004203,0.99951171875,0.004202821302871713,0.999837 +/- 0.003729,0.9998372395833334,0.0037288463505305547,0.597656 +/- 0.000000,0.59765625,0.0
key_only_random,3.5,0.999512 +/- 0.003321,0.99951171875,0.0033210616961661292,0.999837 +/- 0.003729,0.9998372395833334,0.0037288463505305547,0.605469 +/- 0.000000,0.60546875,0.0
key_only_random,4,0.999186 +/- 0.004307,0.9991861979166666,0.004306770760762214,0.999837 +/- 0.003150,0.9998372395833334,0.0031501970473903334,0.628906 +/- 0.000000,0.62890625,0.0
full_kv,2,0.997396 +/- 0.003934,0.9973958333333334,0.003934454337385429,0.941081 +/- 0.004297,0.9410807291666666,0.004297132321017088,0.130859 +/- 0.000000,0.130859375,0.0
full_kv,2.5,0.998210 +/- 0.003639,0.9982096354166666,0.00363880055711384,0.959798 +/- 0.004532,0.9597981770833334,0.004531947839505158,0.146484 +/- 0.000000,0.146484375,0.0
full_kv,3,0.999512 +/- 0.004203,0.99951171875,0.004202821302871713,0.982422 +/- 0.002822,0.982421875,0.0028215434316977155,0.193359 +/- 0.000000,0.193359375,0.0
full_kv,3.5,0.999512 +/- 0.003321,0.99951171875,0.0033210616961661292,0.987956 +/- 0.002802,0.9879557291666666,0.002801880868581142,0.208984 +/- 0.000000,0.208984375,0.0
full_kv,4,0.999186 +/- 0.004307,0.9991861979166666,0.004306770760762214,0.995443 +/- 0.003391,0.9954427083333334,0.0033910731729782464,0.255859 +/- 0.000000,0.255859375,0.0
